"Braes Interfaith Ministries","food","4300 W. Bellfort, Houston, TX 77035","713-723-2671","29.6180,-95.4595","{""monday"":""10:00-14:00"",""wednesday"":""10:00-14:00"",""friday"":""10:00-14:00""}","food_pantry","photo_id","free","income_qualified","unknown","unknown","","active"
"Servant of Nations","food","6115 Skyline Suite B, Houston, TX 77057","713-706-4401","29.7159,-95.4634","{}","food_pantry","photo_id","free","income_qualified","unknown","unknown","","active"
"Iglesia Fuentes De Esperanza","food","11612 Memorial Dr, Houston, TX 77024","832-358-8003","29.7547,-95.5821","{}","food_pantry","photo_id","free","income_qualified","unknown","unknown","","active"
"Christian Community Service Center Emergency Services Southwest","food","6856 Bellaire Blvd, Houston, TX","713-328-0194","29.7058,-95.4847","{""monday"":""10:00-13:00"",""tuesday"":""10:00-13:00"",""wednesday"":""10:00-13:00"",""thursday"":""10:00-13:00"",""friday"":""10:00-13:00"",""saturday"":""9:00-12:00""}","food_pantry","photo_id","free","income_qualified","unknown","unknown","","active"
"Faith Center Harwin Food Pantry","food","5860 Ranchester Dr #833, Houston, TX","713-335-6459","29.7058,-95.5344","{""saturday"":""10:00-13:00""}","food_pantry","photo_id","free","income_qualified","unknown","yes","","active"
"Saint Albert Of Trapani Food Pantry","food","11027 S Gessner Rd, Houston, TX","713-771-3596","29.6180,-95.5365","{}","food_pantry","phone_call_required","free","income_qualified","unknown","yes","","active"
"Ocher Foundation Food Pantry","food","6628 Wilcrest Dr B, Houston, TX","281-776-9955","29.6983,-95.5902","{""monday"":""8:30-12:00"",""tuesday"":""8:30-12:00"",""wednesday"":""8:30-12:00"",""thursday"":""8:30-12:00"",""friday"":""8:30-12:00""}","food_pantry","photo_id","free","income_qualified","unknown","unknown","","active"
"Mission Bells Food Pantry","food","15325 Bellaire Blvd, Houston, TX","281-933-6800","29.7058,-95.6234","{""tuesday"":""9:00-11:00"",""saturday"":""9:00-11:00""}","food_pantry","online_application_required","free","income_qualified","unknown","unknown","","active"
"Project Access","transportation","Multiple locations, Houston, TX","713-286-6000","29.7604,-95.3698","{""monday"":""8:00-17:00"",""tuesday"":""8:00-17:00"",""wednesday"":""8:00-17:00"",""thursday"":""8:00-17:00"",""friday"":""8:00-17:00""}","free_transportation,housing_assistance","registration_required","free","individuals_seeking_housing","wheelchair_accessible","unknown","","active"
"Metro Q-Card Reduced Fare","transportation","Houston, TX","713-635-4000","29.7604,-95.3698","{}","reduced_fare_transit","student_senior_medicare_disabled","reduced_cost","students,seniors,medicare_cardholders,disabled","wheelchair_accessible","unknown","","active"
"Non-emergency Medical Transportation Program","transportation","Houston, TX","855-687-4768","29.7604,-95.3698","{}","medical_transportation","medicaid_or_special_programs","free","medicaid_recipients,children_special_needs,cancer_patients","wheelchair_accessible","unknown","","active"
"Harris County Transit ADA Paratransit","transportation","Harris County, TX","832-927-4953","29.7604,-95.3698","{}","ada_paratransit","disability_verification","$2_per_trip","disabled_individuals","wheelchair_accessible","yes","","active"
"METROLift","transportation","Houston, TX","713-225-6716","29.7604,-95.3698","{}","curb_to_curb_transportation","disability_eligibility","varies","disabled_individuals","wheelchair_accessible","unknown","","active"
"RIDES","transportation","Harris County, TX","713-368-7433","29.7604,-95.3698","{""monday"":""8:00-17:00"",""tuesday"":""8:00-17:00"",""wednesday"":""8:00-17:00"",""thursday"":""8:00-17:00"",""friday"":""8:00-17:00""}","ride_sharing,taxi_service","registration_required","50%_customer_cost","older_adults,disabled","wheelchair_accessible","unknown","","active"
"METRORail","transportation","Houston, TX","713-635-4000","29.7604,-95.3698","{}","public_transit,rail_service","none","$1.25_regular,$0.60_discounted","general_public","wheelchair_accessible","unknown","","active"
"ADAPT Intensive Outpatient Drug & Alcohol Treatment","substance_abuse","Houston, Manvel, Angleton, TX","855-862-3278","29.7604,-95.3698","{""monday"":""8:00-17:00"",""wednesday"":""8:00-17:00"",""thursday"":""8:00-17:00""}","outpatient_treatment,counseling,relapse_prevention","none","varies","individuals_families_affected_by_substance_abuse","unknown","unknown","","active"
"Monument Online Alcohol Treatment","substance_abuse","Online/Telehealth","","29.7604,-95.3698","{}","telehealth,virtual_therapy,medication","age_17_plus","varies","individuals_17_plus","unknown","unknown","https://joinmonument.com","active"
"VA Substance Use Disorder Program","substance_abuse","Houston, TX","800-273-8255","29.7604,-95.3698","{}","outpatient_treatment,residential_treatment","veterans_only","free","veterans","wheelchair_accessible","unknown","https://www.va.gov/health-care/how-to-apply/","active"
"Alternative Substance Abuse Treatment Program","substance_abuse","Houston, Brookshire, Hempstead, TX","713-754-7010","29.7604,-95.3698","{""monday"":""8:00-17:00"",""tuesday"":""8:00-17:00"",""wednesday"":""8:00-17:00"",""thursday"":""8:00-17:00"",""friday"":""8:00-17:00""}","counseling,support_groups,medical_referrals","none","free","individuals_recovering_from_substance_use","unknown","yes","","active"
"ADAPT Residential Drug Treatment Program","substance_abuse","Freeport, TX","855-862-3278","29.7604,-95.3698","{""monday"":""8:00-17:00"",""tuesday"":""8:00-17:00"",""wednesday"":""8:00-17:00"",""thursday"":""8:00-17:00"",""friday"":""8:00-17:00""}","residential_treatment","age_18_plus,medically_stable","varies","individuals_18_plus_seeking_treatment","unknown","unknown","","active"
"Lambda Center Houston 12 Step Recovery","substance_abuse","Houston, TX","713-521-1243","29.7604,-95.3698","{}","12_step_recovery,support_groups","lgbtq_plus_or_ally","$20_monthly","lgbtq_plus_individuals_and_allies","unknown","unknown","https://lambdahouston.com","active"
"ADAPT Intensive Outpatient Drug & Alcohol Treatment (Spanish)","substance_abuse","Houston, Manvel, Angleton, TX","855-862-3278","29.7604,-95.3698","{""monday"":""8:00-17:00"",""wednesday"":""8:00-17:00""}","outpatient_treatment,counseling,relapse_prevention","none","varies","individuals_families_affected_by_substance_abuse","unknown","unknown","","active"
"Monument Online Alcohol Treatment (Spanish)","substance_abuse","Online/Telehealth","","29.7604,-95.3698","{}","telehealth,virtual_therapy,medication","age_17_plus","varies","individuals_17_plus","unknown","unknown","https://joinmonument.com","active"
"VA Substance Use Disorder Program (Spanish)","substance_abuse","Houston, TX","800-273-8255","29.7604,-95.3698","{}","outpatient_treatment,residential_treatment","veterans_only","free","veterans","wheelchair_accessible","unknown","https://www.va.gov/health-care/how-to-apply/","active"
"Alternative Substance Abuse Treatment Program (Spanish)","substance_abuse","Houston, Brookshire, Hempstead, TX","713-754-7010","29.7604,-95.3698","{""monday"":""8:00-17:00"",""tuesday"":""8:00-17:00"",""wednesday"":""8:00-17:00"",""thursday"":""8:00-17:00"",""friday"":""8:00-17:00""}","counseling,support_groups,medical_referrals,spanish_groups","none","free","individuals_recovering_from_substance_use","unknown","yes","","active"
"ADAPT Residential Drug Treatment Program (Spanish)","substance_abuse","Freeport, TX","855-862-3278","29.7604,-95.3698","{""monday"":""8:00-17:00"",""tuesday"":""8:00-17:00"",""wednesday"":""8:00-17:00"",""thursday"":""8:00-17:00"",""friday"":""8:00-17:00""}","residential_treatment","age_18_plus,medically_stable","varies","individuals_18_plus_seeking_treatment","unknown","unknown","","active"
"Lambda Center Houston 12 Step Recovery (Spanish)","substance_abuse","Houston, TX","713-521-1243","29.7604,-95.3698","{}","12_step_recovery,support_groups","lgbtq_plus_or_ally","$20_monthly","lgbtq_plus_individuals_and_allies","unknown","unknown","https://lambdahouston.com","active"
"Repite and Recuperative Care Center (RRCC)","housing","5803 Harrisburg Boulevard, Houston, TX 77011","713-921-7520","29.7404,-95.2986","{}","temporary_shelter,medical_care,food_stamps,legal_assistance,computer_access","male_only,age_17_plus,harris_health_established,acute_medical_need","free","males_17_plus_with_medical_needs","unknown","unknown","opendoorhouston.org/programs/","active"
"Men's Shelter by Txbunkhouse","housing","1803 Everett Street, Houston, TX 77009","713-237-9988","29.7947,-95.3415","{}","shelter,locker_storage,laundry,tv_room,kitchen","male_only,all_ages","reduced_cost","males_all_ages","unknown","unknown","https://txbunkhouse.com","active"
"Myriam's Hostel Emergency Shelter","housing","3209 Austin Street, Houston, TX 77004","713-529-4231","29.7244,-95.3678","{}","temporary_shelter_14_days,meals,personal_hygiene","women_only,photo_id_required","free","women_only","unknown","unknown","https://mhihouston.org","active"
"Shelter Program","housing","1010 Waugh Drive, Houston, TX 77019","713-528-6798","29.7486,-95.3897","{}","safe_housing,temporary_shelter,group_therapy,meals","fleeing_abuse","free","individuals_families_fleeing_abuse","unknown","unknown","https://hawc.org","active"
